"","text"
"1251","mantap responnya cepat transaksi prabayar pascabayar benarlancarsemoga suksesamiinn"
"1252","mantap that"
"1253","mantapakhirnya keluh tanggap baiksekarang proses"
"1254","mantapcepat tanggap keluh masyarakat langsung ditanganiterima kasihmoga muas langgan"
"1255","mantapdan mudah transaksi beliplnmobiledigengaman bumn"
"1256","mantapjaya"
"1257","mantapkalau fast respon feedbacknya tindak sekedar suggestionsetiaplapor masyarakatkalau clear tolong feedbackclearthanksemoga jayamantap ntuk layan masyarakat"
"1258","mantapmobilebikinmenit tugas dtgterima kasih"
"1259","mantapoke bangenpengaduan aplikasi langsung tanggap pokok mantap aplikasi"
"1260","mantapplyanana"
"1261","mantapsemakin simple kantor bayar tinggal klik tidur"
"1262","mantapuntuk layan pasang"
"1263","mantsp"
"1264","mantul"
"1265","mantul kerbis"
"1266","mantulllll banget"
"1267","masarakt mohon awas pekerjakarna oknum kerja nakalbahkan mengalamaisaya pasangdoang uang kerja"
"1268","mastik aplikasi akurat cobariwayat transaksi muncul beli token ribu salah aplikasi cobastatus transaksi"
"1269","masuk"
"1270","masuk aplikasi daftar"
"1271","masuk aplikasi reset password masukeeehdaftar gantiaplikasi hpku maaf solusi"
"1272","masuk aplikasidaftar pemasangan pilih provinsi jawa timur gina rubah mohon info terimakasih"
"1273","masuk daftar akun eror konfirmasi passwort arah"
"1274","masuk gagal update jelek appnya"
"1275","masuk nomer meter listrik daftarnomer meter listrikdipencarian daftar"
"1276","masuk nomer meter tekan periksa data temu nomer meter masuk nyagmn"
"1277","masuk nomor ponsel daftar nomor ponsel aneh masukinstal"
"1278","masuk solusiadmin"
"1279","masuk susah bangetsedang ganggu jaring terusmohon info"
"1280","masuk token pencet token listrikgagal"
"1281","masuk walupun daftar uninstall"
"1282","masukakun daftar tera daftar"
"1283","masyarakat"
"1284","matab ayan kali meter token komplain menufast respon langsung telepon tugas terimakasih"
"1285","matap"
"1286","mati"
"1287","mati lampu kali lapor sekal timbal balikx"
"1288","mati lampu nyalatindak"
"1289","mati lampu sedikt hujan langsung mati lampu hujan malam siang hidup mati lampu alas"
"1290","mati sore"
"1291","mbak admin tugaskeluh terimakasih"
"1292","mbokcoba verifikasi akunfotoframefoto"
"1293","media bayar komplit fintect bank negara swasta baran kartu kredit"
"1294","membanru"
"1295","membantusaran lengkap jual pulsa"
"1296","membantuterima kasih"
"1297","membntu"
"1298","memverivikasi respon"
"1299","menangani keluh ramah terima kasih"
"1300","mendaftarka subsidi listrik"
"1301","mending bikin aplikasi developerbodoh jeleeeeeeeekkkkkkkkkk susah aplikasi"
"1302","mending hapus playstore aplikasiluncur"
"1303","mendowndload"
"1304","mengecewakanrespon lambat"
"1305","mengunakan aplikasi bantu"
"1306","menit statusselesa selesai lapang anehajaib"
"1307","menu aplikasi informatif menu histori token cari ketemu bagus"
"1308","menu cancelbatal transaksi susah"
"1309","menu chat lapor curi listrikgampang tanggap masyarakatcuri lapor aman"
"1310","menu daya vlangsung"
"1311","menu lengkap monitor status mohon detail kompliti"
"1312","menu lihat proggres lapor keluh konsumencontoh listrik padam tugas tuju lokasi lihat aplikasiterima kasih"
"1313","menu merubahedit data hasil ubah data buruk"
"1314","menu minim promo metode bayar luassyariahmenu chat"
"1315","menu pasang muncul pilih provinsi jawa timur jawa barat"
"1316","menu pasang nama provinsi pilih tolong adminmenu provinsi menu pasang"
"1317","menu pasang provinsi jawa barat"
"1318","menu simulasimenu khususviewer screenshot dokumen tampil aplikasi"
"1319","menu tagih bayar versi"
"1320","menulanggan"
"1321","meter cepat habis pulsa"
"1322","meter errorpulsa lapor ganggu ditindaklanjutimobilemeter normal terima kasihcilegon moga ayan tingkat"
"1323","meter pakai voucher"
"1324","meter susahtoken tulis periksa"
"1325","meter temu aplikasi"
"1326","meter tulis eror"
"1327","meter tulis periksa pagi malam lapor lwatkalimalam respon sekal alhasil paksa warung tutup padam parah ayan"
"1328","metode bayar bayar bank fintech verifikasididatabaseupload dihack disalahgunakan"
"1329","metode bayar coba kredit card khusus mandirikasih kalofull bintang"
"1330","metode bayar dana"
"1331","metode bayar kalo metode bayar dana rekomended bayar listrik aplikasi"
"1332","metode bayar link error"
"1333","metode bayar sedia opsi mudah simple kartu kredit debit bankbank nasional"
"1334","metode bayar tolong biar pakai shopeedana dompet digitalbiar pilih"
"1335","metode bayargopay"
"1336","metode pembelajaran debet mandiri debetpakai dululah edit alamat cantum tagih salah"
"1337","metodeyaran linkaja"
"1338","mhon tingkat admin cetak struk langsung bayar pakai link gagalbank mandiri multipayment"
"1339","migrasi turun daya adafair daya menumobile"
"1340","mindiapakaah rubahmeter pascabayarmeter prabayar"
"1341","minn verifikasiambil fototekanbingkai mohon cepat butuh ayan terimakasih"
"1342","mmbantu"
"1343","mobail muas"
"1344","mobil bagus mantap trimakasihcepat tanggap kemarin padam area kaliabu info jaring senggol truk muat percikpdamnyala mkch"
"1345","mobil sagat batu pulang"
"1346","mobil tanggap sekal"
"1347","mobile"
"1348","mobile aplikasi sekal langgan listrik plnsemoga ayanaplikasimobile"
"1349","mobile bantu ayanditangani cepat ubah daya pemindahanrenovasi rumah aplikasi"
"1350","mobile bantu lapor keluh ganggu putar listrik jayaterang neger"
"1351","mobile bantu mudah langgan ecek bayar tagih listrik lapor ganggu"
"1352","mobile cepat mantap hitung menit langsung respon tugas luarrrrrr"
"1353","mobile cepat masyarakat mogapelayananyaamiin bravo"
"1354","mobile keren viturnya user friendly bantu mudah urus listrik surabaya jakarta pakai mobil sore rumahmobile mudah"
"1355","mobile mantap"
"1356","mobile mantap ayan"
"1357","mobile mudah bantu masarakat luas terima kasih"
"1358","mobile mudahmonitoring tagih listrik rumahmobile mantap"
"1359","mobile nyata mantap"
"1360","mobile shiiiiip mudah konsumen mantab maju tros"
"1361","mobile susah payah rumah tinggal pencetlistrik trselesaikan tugas ramah salutmobile purwodadi grobogannyes"
"1362","mobileajuk pemasangan sambung fitur"
"1363","mobileapakah januari pemanggansubsidiecek tagih bayar bulam lalutrimakasih"
"1364","mobilemobile urus listrik gampang terimakasih"
"1365","mobileokey maaf komentar"
"1366","moga"
"1367","moga aplikasi ayan langgan cepat"
"1368","moga aplikasi langsung hubung pusat lapor gangguonline tanggap laporganggu listrik padam"
"1369","moga aplikasimobil ayan"
"1370","moga ayan lagikhususnya pasang listrik lamabravo"
"1371","moga ayandampak positif langgan"
"1372","moga berik ayan fasilitas promo tarik langgan"
"1373","moga jaya rayapersija"
"1374","moga kendalatoken kemarin kendala bayar hasil token laportoken trimakasihmoga aplikasi"
"1375","moga laporanya cepat tanggap disetiap gangguaan listrik"
"1376","moga manfaat"
"1377","moga manfaat langgan"
"1378","moga manfaat langganjaya"
"1379","moga mudah butuh listrik trouble cepat tertangani verifikasidetail banget pakai selfiemoga aman data langgan cuman ragu hubung linkaja reward mudah sulit pakai linkaja"
"1380","moga nyapengaduan langsung respontidak tunggukian kali responterimakasih"
"1381","moga pelayananya hadap konsumen tingkat terima kasih"
"1382","moga pemerintah luncur aplikasi aplikasi masyarakatprogram pemerintah rakyatnyaagar sila pancasila terwujuddan indonesia majutrima kasihaplikasi bantu"
"1383","moga terang nkri"
"1384","moga update klik history muncul bentar langsung hilang bugsmohon sgra nyaman langgan setiakhusus aplikasi mobile moga metode bayar bankbaca mandiritingkat ayan fitur aplikasi mobil bumnbisalistrikpintar"
"1385","moga valid"
"1386","mogacepat respon nyata benahaman data ayan rawan sekal pungli"
"1387","mohon ayantanggapisejauh ayan tanggap ayan lambat terima kasih"
"1388","mohon bantu buka complain aplikasi yapadahal lapor notifikasi terjawabbegitu buka"
"1389","mohon bantu klik gambangmuncul pilih tetanga padam kali hapus data"
"1390","mohon bantu tugas plan arus listrik rumah nama baco ufnia jalan utarum kampung"
"1391","mohon bantulapormalamselesairumah"
"1392","mohon fitur chat ganggu tugas menangani mudah komunikasi fitur call voip"
"1393","mohon fitur eksisting grafikaplikasi hadir monitor pemakaian overallgood"
"1394","mohon hatisusah pasang instalasi listrik barudi wilayalintas pantai barat desa sundut tigo natal konsumsi listrik sekolahsemua syarat laku biaya pemasangan juta bayar kantapibiaya jtanehajaibpermohonan pemasangan langsung lokasi pinggir jalan lintas pantai barat desa sundut tigo natalsiti sekolah islam padu indonesia"
"1395","mohon info kalo bayar tagihindomaret cetak ulang bukti bayar kantorsuailanggan mohon tanggap terima kasih"
"1396","mohon info kampung salah gardu infoaplikasi repot tukanghubungmobile rumahnormalsebelum tukangrumah listrik error nyala mati nyala matipaslistrik mati nyala ajahkatagardupaslagih listrik normal enakhehehe"
"1397","mohon info menukirim"
"1398","mohon info nomor token listrik hapuschat respon penyelesaianny terima kasih"
"1399","mohon kalo idpel blokir kompensasi tagih listrik berik pemberitahuan langgan"
"1400","mohon maaf desa somogede camat pituruh kabupaten purworejo jawatengah signal mendukungjadi susahmobilejadi token psbb warga"
"1401","mohon maaf lapor bibik sabtu maret aplikasibibik pakai android hubungkirim nomer bibik aprilmerespon hubung merespon mohon ayan maksimal listrik rumah bibik ganggu trimakasih"
"1402","mohon maaf lapor ganggu listrik padam pakai aplikasi status lapor selesai nyalapadahal sekal tugas"
"1403","mohon maaf layanribet kantorcabang sumenep lapor ganggu listrik rumah satpam bilang lapor layan aplikasimobile pulang hasil coba downloadmobile lapor aplikasi nyata sedia daerah coba nelpon layantanggap pulsa habis trnyta reformasi"
"1404","mohon maaf masuk aplikasi kerja didevice diroot"
"1405","mohon maaf menuakses kolom blankmenu"
"1406","mohon maaf minsaya beli token listrik pakai mbangkingmobilesaldo sudar potong transaksi proses"
"1407","mohon maaf pagi suka mati lampumati pudarmaklum terima kasihmaafmbak admin ulangtoken hilang"
"1408","mohon maaf transaksi beli token listrik status gagal pmbayaran bangking uang"
"1409","mohon maaf tugasmemberitahukan listrik tokensya boros minggu beli token harga ribusedangkan buruh bangunangimna solusiyterimakasih"
"1410","mohon maafkirimprosynya"
"1411","mohon maafsaya lapor ayan kantordemang lebar daun palembangtapi trma kasih dlayanin satpam baiktpi kecewa ketemu karyawantunggu menunggusemoga ayanmasyarakat"
"1412","mohon maafverifikasisusah fotomohon bantupakai beda"
"1413","mohon menu edit rating mobilemohon nomor tugas lokasi"
"1414","mohon mobile aplikasidaya status aplikasi daya beli pulsa terupdatelokasimelesatsincronlokasi thanksmobile"
"1415","mohon pasang provinsi jawa timur mohon"
"1416","mohon pasang recomended banget"
"1417","mohon penjelasanyasebetulnya aplikasi inijika keluhlanggan sepele"
"1418","mohon ringan jabatpandemi covid sekal bantu diskon listrik sewa rumah tangga biasarumahnya sederhana listrik kategori rmva mohon jabat meter ubahbiar diskon kian terima kasih"
"1419","mohon sedia fitur chating aplikasi mudah komunikasi langgan tugas folowlapor terimakasih"
"1420","mohon tanggap laporanapakah selesai belumjangan pakai sistem absasal senanglaporan tanggap selesai lapor aplikasikatanya lokasi ditemukanitu mustahil samping rumah tiang listrik ditemukanbeli listrik dayasayang"
"1421","mohon titik lokasi mapssuai alamat"
"1422","mohon updatean beli ulas sala karnakan lokasi sala mohon lengkap chat costumer live instan melapur"
"1423","mohonbayar ratarata januari kisar kerjamusuhmaafbukan jalur"
"1424","mohongmobilesblumnya berik prkataan menyiggugkrna mengaggapribet prtama dawnlode sngat mnjegkelkankrjanyadan sekarag mengetahuinyateryata mudah banding sekal"
"1425","mohonkonfirmasi wilayah ajuk pemasangan titik konfirmasi jawa pemilihan provinsi jawa timur proses"
"1426","mohonmetode bayar dana"
"1427","mrasa aplikasi pemakain bulnhabisgilir pakai aplikasi bayar tarif rekening lonjak kali lipatt habis fikir sumpah parah banget"
"1428","muas"
"1429","muas bantu ayan cepat tanggap terimakasih"
"1430","muas tampil tarifmobile"
"1431","muda bayar"
"1432","mudah"
"1433","mudah akses cepat direspon"
"1434","mudah aplikasimobile rusak langsung ditindaklanjuti mohonbabelan masuk list daerah teluk pucung masukmedan satria mohon tingkat kinerjadaerah april kali mati lampu terimakasih"
"1435","mudah aplikasimobilesemogamaju"
"1436","mudah ayan online tunggu daya anti meter token"
"1437","mudah banget lapor ganggu"
"1438","mudah beli token"
"1439","mudah beli token bayar listrik terima kasih"
"1440","mudah berfunsi"
"1441","mudah customer selesa keluh ganggu perihal listrik"
"1442","mudah diskon listrik tanyatanya orang sungguh puas"
"1443","mudah gampang mendownload aplikasi mudah ecek pemakaian listrikkalo listrik rumah mogaberik listrik"
"1444","mudah konsumen"
"1445","mudah konsumen prmbelian tokenbiaya"
"1446","mudah laku komunikasi transaksi upgrade daya daftar malam tugas langsung bayar ribet pekanbaru"
"1447","mudah lapor ganggu info padam"
"1448","mudah lapor mantap"
"1449","mudah mudah ayanmasyarakat"
"1450","mudah murah sayang nomer tokenproses"
"1451","mudah pelaya"
"1452","mudah ribet terimakasih inovasi"
"1453","mudah sampa keluh lapor ganggu masuk ayan kantorpandemi covid"
"1454","mudah simpel cepat"
"1455","mudahmobile"
"1456","mudahmobile aplikasi bermanfaatdanberik mudah langgan terimakasih"
"1457","multifungsiteleponaplikasi"
"1458","muncul provinsi layan pasang baruwkwk layan voipnya hilang mending aplikasi histori transaksi hystori token hilang balikin aplikasi oiiii development"
"1459","muncul tulisanmaaf madam kitar rumahmati"
"1460","mutuerrorr alir padam nyala msti laporkasih kodedah msti tunggujamudah ngeluhsuruh ganti penjelasanudah lapor kode lapor kodedan kemarin alir kali tunggukodesampe pusing bolak nelponyg bocor arus listrik mahalpadahalbuangrusak kalingeselin banget"
"1461","naikin daya pilih bayarpilih bank mandiri bacakantormuncul bayar gimanaaa bambang"
"1462","nama ahyar kelluhan seple denggannomor tuken gagal paktorlampu mati pulsa mohon bantu"
"1463","nama alamsah masuk nomor token"
"1464","nama online gilir komplin komplain suruh kantor suai unit layan konsumenanak remaja ribet"
"1465","namalanggan pasang pasang nama orang"
"1466","nang ulah manusiakdda sempurna"
"1467","napayah transaksi sinikrna malas transperny beli token masuk ngisi tokenny dawlot aplikasi"
"1468","ndakbisa didonload"
"1469","ngdwnload dftrbuka dftr ulang idpellago vtsfksi"
"1470","ngeclose laporkirimmadamclose tolong monitor"
"1471","ngisi indak nomor meter"
"1472","niat verifikasi akun tolak aplikasi khusus internal keluarga"
"1473","nomer token gratis kali kali ecek berhasilmohon"
"1474","nomor aplikasi"
"1475","nomor token pilaa listrik masuk nomor pencet"
"1476","nomor tokenmaret hilangtpribet"
"1477","normal"
"1478","notif beli token hasil notif beli token gagal ngapa"
"1479","notifikasi beli token hasil kadang notifikasi beli token gagal ulang laku transaksi tolong beneri curiga"
"1480","notifikasi beli token indak oadahal beli kagak transaksi kagak"
"1481","notifikasi contoh pakai listrik pasca bayar notifikasi beli token hasil bentar beli token gagal mohon"
"1482","notifikasi info padam nyala update daerah mati lampu beritahu"
"1483","notifikasi token token ubah aplikasi"
"1484","nyata gantipemberitahuan lumayan panikslesai ganti gratis"
"1485","nyata mudah verifikasi data mobilemoga manfaat layan plndan"
"1486","oengajuan keluh listrik mati aplikasi tulis jalan lacak lokasi berubahd aplikasi tulis nyala kenyataanya padamaplikasi"
"1487","okay"
"1488","okey admin"
"1489","online masak keliru administrasi suruh kantorangelangelllll"
"1490","only"
"1491","orang masukinput daftardaftar masuk"
"1492","oranglihat geniuscarerespecpekerja kerassuaphox tujuniatmudah langgan mudah"
"1493","orangtangani statusselesai lapor pagi malam listrik mati total sekal kali kalo teleponsuruh downloaddownload"
"1494","padamnyala kendala gmanaa solusinyaa cowok"
"1495","paiton kabprobolinggo padamhormat"
"1496","pakai"
"1497","pakai aplikasi beli produk voucherdaftar erroraplikasi"
"1498","pakai aplikasi komenya susul"
"1499","pakai aplikasi lapor kendala kait rusak fast respon"
"1500","pakai aplikasimeng hubung langsun keluh mlammalampagi tindakkeluh lampu padam bangun meter lokasi tinggal lampu padamdi tetanggabirman lampumalam nyala"
"1501","pakai apliksidrmhmati lmpu"
"1502","pakaiinstal aplikasi daftar buka aplikasi"
"1503","pakaiprovinsi databasenyagimana lapor gngguan"
"1504","pakaumobile verifikasi dataterima pakaiakunsaya masuk akun verifikasiverifikasi pagiverifikasitolak maksud coba fiks moga auto logout verifikasi"
"1505","pancen jamaneserba online instal aplikasine laporkeluhane langsung direspon ditindaklanjuti neng lokasi beresnganggo kesuwenmbayar apik tenan"
"1506","parah banget rekomendasi call center pakai apps eror ganggu jaring saran appsrekomendasi call center"
"1507","parah daerah paiton minggu padammmmundur maju"
"1508","parah dbiaya admindni aplikasiadmind sgalaparahnya aplikasi murahadmindnyemending pakai aplikasi dach"
"1509","parah pungut biaya tugasrumah biaya masuk akal mendingplaystore"
"1510","parah tanggallistrik padammalam tanggal maret malampadam tanggal maretpadam lurah gayamsarisemarang timur kota semarang"
"1511","parahplns karangtanggal mati lampu siangidupyg aneh mati semuatetangga mati listrik idupkan bayar aneh"
"1512","parametertulis eror"
"1513","pasang aplikasi susah carana"
"1514","pasang listrik istri subsidipakai validasi data"
"1515","pasang listrik menudaftar mohon cerah"
"1516","pasang online"
"1517","pasang pilih pripinsi jawa timur propinsi"
"1518","pasang pilih provinsi jawa timur"
"1519","pasang provinsi sedia jawa timurjawa barat kesel update kali aplikasi"
"1520","pasang provinsijawa timur doangtolong admin"
"1521","pasangmobile kinerja"
"1522","pasangpilih alamat provinsijawa timur aplikasi aktiv trimakasih"
"1523","pasca update lakuklik konfirmasi layar putih doang respon apapunsaat listrik padam dtempat"
"1524","pasrahdaya"
"1525","payah"
"1526","payah banget kecewahubungtelepon kagak respon sekal heran gerimis dikit listrik langsung padam mending kalo gampang hubung payah banget"
"1527","payah histori tagihmuncul upgrade tolaksuka susah bayar terima kasih"
"1528","peduli covit ambil"
"1529","pemakaian dibyr sesuailbh komplain"
"1530","pemasangan lambat agentemailcall centerbalas scrippaham chat bayartunggu survey lapang lokasi suruh tunggu survey telepon paham chat berik proses sambung hitung kerja bayar kerja teknisi lokasiduluini lokasi luas jaring"
"1531","pemasangan tera jawa timur doang pilih provinsi"
"1532","pemasangan terang lokasi provinsi pilih cuman jawa timur"
"1533","pemberitahuankali kalibossmenggangu"
"1534","penanganan bagus tugas lapanganannya hujan angin main mati listrik padam pagi sahur hidup kayak penangannyatolong nang madam itukatax pltu padam trsapalagi puasa padam malamtugas orang terawehtadarustolongpenanganannya tugas lapang ituterimakasih"
"1535","penanganan cepat fast respon moga"
"1536","penanganan cepattt"
"1537","penanganan lambat"
"1538","penangananaplikasi bantu langgan tingkat kinerjanilai"
"1539","penangananeror cepat selesa harap aplikasi ayan"
"1540","penangananmuas ganggu cepat tanggap"
"1541","penanganannya lelet padamngegunain"
"1542","penangananrespon buruk telepon kait pemakaian listrik gantipemakaiannyamagicputus dinyalalan susah cabut stopkontak longok meter"
"1543","penangananrespon jelek"
"1544","penangananya lambat"
"1545","pengaduanbtentang madam listrik daerah rumah rumah"
"1546","pengaduanebospdhl sore listrik padam"
"1547","pengaduankrna nomer idpelhilang respon cepatdan alhamdulillah ketemu"
"1548","pengindunia medsos"
"1549","permisi admin numpang lupa nomorlanggan listrikstruk bayar hilang meter tulislangganmohon bantu"
"1550","pikir donwload token gratis nyata"
"1551","pikir live chat nyatalisteik padam ribetdan slow respon"
"1552","pilih bayar linkaja langsung proses masuk passwordaman arti orang akses akunmobile"
"1553","pilih lokasi cuman pilih jawa timur sistem aplikasi"
"1554","pilih provinsi cuman jawa timur doang"
"1555","pindah rumahnah meter listrik rumah hilang struk nomer meter"
"1556","pintas lihat baguscuma subsidi peduli covidkirakira"
"1557","plan jaya"
"1558","playanancepattrs semangat ayan teknik"
"1559","please kayak orang stres naikin saklar mati eror kalilambat sekal jarak rumah kantorkota sidoarjo hujan kayak orang stres nyalain saklar mulunyala habis mati mndi susah setrika susah mogakali langsung gilir telatlangsung putus konfirmasi main putus"
"1560","plnsy hilangrekening listrikmau bayar gimanamohon bantu"
"1561","pokok"
"1562","praktis bolak standmeter tagih tampil"
"1563","praktis cepatmeter listrik lengkap histori rekening listrik"
"1564","praktis ekonomis cepat aman"
"1565","praktis kantor plncumaribetuntuk orangpakai aplikasiharus tolong orang pasang buka aplikasisementara bintang dehribet"
"1566","praktis manfaat lupa kirim foto status meter"
"1567","praktismudah"
"1568","pribadi dukung program token gratis pandemi inidengan stimulus token gratis bantu sekal keluargamantul"
"1569","printbayar tampil didownload arsip langgan terima kasih maju kembang bravo"
"1570","profil fotostep foto nama suai pakai aplikasi versi"
"1571","progam pemerintah bagus"
"1572","program daya bayar ribupromo april bayar ribu ribu langgan"
"1573","progres aplikasi selesai progres lapang kali lapor"
"1574","proses bayarbayar aplikasi kecewa aplikasi batalrubah batalaplikasi icon batalsekal kesankayak pemaksaan coba"
"1575","proses daya ubah npwp"
"1576","proses pasang minggu lebihbelum terpsgalasan matrialadatmn trpsg"
"1577","proses pemaksin maaf bintang kasih"
"1578","proses selesei mohonawas kinerja teknisi lapang kerja suairupa rubah rating ulas harap ayan publik terima kasih petugasteknisi laksana tugas"
"1579","proses telfon call center tekan tekan puluh tekan bilangpulsa habismati listrik periksa"
"1580","proses verifikasi admin lambat titik wilayah namaplace beda data input mohon sempurna sistem stabil bantu"
"1581","prosesdaya admisitrasinya cepat tinggal tunggu eksekusisinya mudah"
"1582","prosesdaya mudah"
"1583","provinsi jawa timurklik pemasangan jawa barat"
"1584","provinsijatim sedia"
"1585","puas"
"1586","puas aplikasi listrik padam lakukali tugas pemberitahuanlaporpetugas perjalanansedang diperbaikinyalaselesai selesai tugas"
"1587","puas aplikasi ribet"
"1588","puas banget ayan responnya cepat banget"
"1589","pulsa gratis token berita coba gratis beli mulu erti"
"1590","pulsa listrik bingung tokenmrmasukkan"
"1591","pulsa listrik gratis covid"
"1592","pulsa token gagal telepon pagi malam tugas janji utus malaikat datan"
"1593","puluh kali bikin password daftar pswd longgarbiar daftar duludari kian ulas respon"
"1594","pungsiselesai selesaitapitindaklanjuti"
"1595","punyakkudiskon"
"1596","ragupakai aplikasimobile nyata ayancepat daerahsalatigasambas kalbar tingkat"
"1597","ralat ulas mohon maaf tugas"
"1598","rating bintang kasih nyata aplikasi gampang beli token ajuk keluh mudah cepat biaya transparan"
"1599","real kaya hasil lapor ganggusuai lapangandi status lapor nyala selesai lapang padam"
"1600","realita kayak lambatpercaya"
"1601","rekomendasi aplikasimobile bagus bantu mudahbayar tagih listrik langsungbintang langsung"
"1602","repot hasil verifikasipakai tibatiba logoutlogindaftar tolong fitur login pakailogin pakai"
"1603","reset password klik link kirimemail linknya reload"
"1604","reset paswword tunggu notifikasi email beneeerrrr"
"1605","respon"
"1606","respon cepat"
"1607","respon cepat alhamdulillah nyala"
"1608","respon cepat hadap keluh"
"1609","respon cepat mantap"
"1610","respon cepat masuk teammohon pandemi masker ecek rumah terima kasih"
"1611","respon cepat pngerjaan cepat gawairamahgood"
"1612","respon cepat teratasialhamdulillah padam listrik terima kasih"
"1613","respon cepat tugas fitur masuk foto eviden konsumen bukti kuat usaha"
"1614","respon cepatdan mudah good totalitas pertahankanterang"
"1615","respon hadap lapor masyarakat kelisrikan tanggap bagusmogaterusmajuindonesia"
"1616","respon lamaaaaaaa"
"1617","respon lambat"
"1618","respon layan tugas cepat ramah daya butuh proses selesai pasangpekanbarupanam salam hormat sigap cepat aplikasimobiletingkat utama verifikasimohon ubah verifikasi langkah emailtelepon mudah bobol terima kasih"
"1619","respon lihat tiitik koordinat muncul telfon pakai aplikasi"
"1620","respon sekal meter limit mohon tugasgagal masuk token"
"1621","responajuk catat bintang mohon laku ecek lapang case anggap selesai costumerpelanggan tutup keluh laku"
"1622","responbanget hapus"
"1623","responcepat haturnuhun"
"1624","responcepat kereennnn ngabisi pulsa telpon layanthanks rekomended banget listrik rumahwork"
"1625","responcepat tanggap"
"1626","respond daya cepatsatu langsung tugas datangmelalui online mudah praltis"
"1627","responkomen lapor proses proses"
"1628","responnya bagus"
"1629","responnya bagus cuman tugas kayak malaslapor tokenkasih pandu reset meter"
"1630","responnya cepat ayan ramah sigap moga berik ayan"
"1631","responsif aplikasinyamasih"
"1632","responsif pdahl terang penanganan ubah sekal"
"1633","responsive"
"1634","respont expert kerja cepat"
"1635","respontunggu tinjau langsung lokasi chek"
"1636","ribet"
"1637","ribet banget"
"1638","ribet lihat transaksi beli token payah"
"1639","ribetkontak mnentu apliksi eror susah"
"1640","riwayat bayar lihat enak aplikasi"
"1641","riwayat status sembarang tugas nongol status selesai"
"1642","riwayat token"
"1643","riwayat transaksi beli token akses butuh catat buku"
"1644","riwayat transaksi ngebug anjir"
"1645","riwayat verifikasikalodaftar"
"1646","rumah kosong pakai listrikkayak lampubayar mahal rumah tempatinlistrikpakai kayak lampu mesinmesin cucibikin aneh rumah pakai listrikbayarmahal"
"1647","rumah mati lampu lapor"
"1648","rumah mati lampu trsrisih sumpah"
"1649","rumah semenjak ganti blok tegang listrik turunlmpu mati nyala pengaruh ganti blok area gangguanmhon solusi"
"1650","rumayan"
"1651","rusakmeter tombol arah panah kiri merah fungsinyata selesai artimeter kerja normal laku tugasrumah"
"1652","saesae"
"1653","sagat bantu beli beli kasihan cuman ngarepin gratis pemerintah pulsagratis"
"1654","sajim banjar"
"1655","salah catat angka meter angka menu hapusphoto input ulang mohon info"
"1656","salah pitur"
"1657","salam rayo muara bulian kinerja padam lampu tiada sungguhvisi misipadam hayat"
"1658","saldo enakatau gopay consumen terima kasih"
"1659","saldo linkaja aplikasimobile integrasi saldo linkaja"
"1660","salutmobile sekal lapor masalh langsung tangani baiksemoga komitmen layan masyarakt jaya"
"1661","samar"
"1662","sambung listrik rumah putus cantol truk alhasil kabel aktif telgletak tanah pejal kaki orang meintas telpon kali tugas sambung takut denda"
"1663","sandi gagal mohon biar"
"1664","sangnat proses cepat"
"1665","saran apkah ditmbah menu lihattaruf daya simulasipasang terimakasih"
"1666","saran call centertelpon bebas pulsa layan panggil sekal bayar sekal panggil layan call centerkena tarif sekal panggilanmisalnyasekal panggil layan keluh bantu langgan erti milik ponsel android unduh layanmobile"
"1667","saran fitur emoney deposit transfer transaksi beli token"
"1668","saran sedangsudah kerja lapor keluh langgan alangkah lampir foto tugas lokasi pelaporkarena tarikkadang histori lapor selesai nyala tugas lokasi"
"1669","saranmobile laku chating online langgan sulit ganggulanggan lapor ganggu tampil progres apajika ganggulisttik padamterima kasih improvemobile"
"1670","saranmobile sedia layan copy paste virtual account mudah laku bayar bank ketik nomor virtual account"
"1671","satakselesai langgan buakselesai aplikasi selesai pengaduaan"
"1672","sayang kasih bintang coba unduh pasang meter konfirmasi alamat suai titikmasuk alamat propinsi propinsi jawa timur propinsi bintangkalo propinsi aplikasi"
"1673","sayang lihat pemakaian mohontampil nomor pemakaian meter"
"1674","sayang metode bayar minim pilih kalangan saran pakai voucher pakaiaplikasi bayar biar efektif"
"1675","sayang mode bayar lengkap mode ewaletgopay bayar transfermohon aplikasi ayan pengaduhan langsung merespon langgankeluh"
"1676","sayang pakai dompet dana metode bayar"
"1677","sayang sekal wilayahpendaptaran pasang jawa timur mohonmobile buka wilayah"
"1678","sayangkanadminnya besaruntk kelas aplikasiaplikasi sebelah biaya adminnyatinjau"
"1679","sayangmobile cari cewek"
"1680","sedia provinsi jawa timur provinsiajuk tingkat"
"1681","sekalmembantuapk jelasygbostransaksi kelihatanstrom token hilangsaya bayarhilang sajasaya coba hubung callcenterotomatis habis pulsa kapk sampahmakan gaji buta kausadis"
"1682","selamat malammohon maaf kemarin sabtu tanggal maret beli elektronik marketplacedistribution berkerjasamamaksud daya program coba masuk aplikasimobile alias gagal laportelpon kabar laku mohontindak terimakasih"
"1683","selamat nikmat"
"1684","selamat pagi aplikasi bantu sayang contoh coba transaksi beli token dana transfer kalistatus prosestoken kirim kasih bintang kalo sempurna kasih bintang"
"1685","selamat sore sayq pasang meter wilayah sawangan depokterima kasih"
